unix,date,symbol,open,high,low,close,Volume XRP,Volume USD
1581897600,2/17/2020 0:00,XRP/USD,0.2925,0.29538,0.269,0.28691,66631325.39,19117193.57
1581811200,2/16/2020 0:00,XRP/USD,0.30762,0.3188,0.26876,0.29297,56980310.14,16693521.46
1581724800,2/15/2020 0:00,XRP/USD,0.337,0.34681,0.294,0.30735,77475296.87,23812032.49
1581638400,2/14/2020 0:00,XRP/USD,0.32791,0.33986,0.31013,0.33604,96284032.4,32355286.25
1581552000,2/13/2020 0:00,XRP/USD,0.30477,0.34088,0.29788,0.32721,167242565.4,54723439.84
1581465600,2/12/2020 0:00,XRP/USD,0.28254,0.30981,0.28126,0.3053,127464073.3,38914781.59
1581379200,2/11/2020 0:00,XRP/USD,0.27303,0.28477,0.26707,0.282,99138827.63,27957149.39
1581292800,2/10/2020 0:00,XRP/USD,0.28283,0.28331,0.26633,0.27303,81667393.98,22297648.58
1581206400,2/9/2020 0:00,XRP/USD,0.27732,0.2895,0.27617,0.28262,31697184.66,8958258.33
1581120000,2/8/2020 0:00,XRP/USD,0.279,0.2823,0.26362,0.27751,34888745.66,9681975.808
1581033600,2/7/2020 0:00,XRP/USD,0.2829,0.28823,0.27716,0.27895,71831533.27,20037406.21
1580947200,2/6/2020 0:00,XRP/USD,0.278,0.28786,0.26727,0.28262,97135581.93,27452458.16
1580860800,2/5/2020 0:00,XRP/USD,0.26621,0.28202,0.26621,0.27765,107189159.2,29761070.06
1580774400,2/4/2020 0:00,XRP/USD,0.255,0.2702,0.24501,0.26583,112885180,30008267.41
1580688000,2/3/2020 0:00,XRP/USD,0.25004,0.25988,0.2464,0.25432,67368920.65,17133263.9
1580601600,2/2/2020 0:00,XRP/USD,0.24136,0.26119,0.235,0.25103,47787792.92,11996169.66
1580515200,2/1/2020 0:00,XRP/USD,0.23885,0.24299,0.23654,0.24092,33220877.9,8003573.904
1580428800,1/31/2020 0:00,XRP/USD,0.24343,0.24487,0.23303,0.23886,77147941.75,18427557.37
1580342400,1/30/2020 0:00,XRP/USD,0.23457,0.24648,0.23,0.24315,83929172.28,20407378.24
1580256000,1/29/2020 0:00,XRP/USD,0.23914,0.24169,0.23183,0.23474,68747461.89,16137779.2
1580169600,1/28/2020 0:00,XRP/USD,0.23084,0.24133,0.23058,0.23916,77803075.53,18607383.54
1580083200,1/27/2020 0:00,XRP/USD,0.23087,0.23367,0.22539,0.23017,51396009.94,11829819.61
1579996800,1/26/2020 0:00,XRP/USD,0.21892,0.23284,0.21752,0.23027,28952972.78,6667001.041
1579910400,1/25/2020 0:00,XRP/USD,0.22211,0.22249,0.216,0.21887,31433940.14,6879946.479
1579824000,1/24/2020 0:00,XRP/USD,0.22522,0.226,0.21302,0.22201,77978134.73,17311925.69
1579737600,1/23/2020 0:00,XRP/USD,0.23662,0.237,0.22027,0.22503,67560809.56,15203208.97
1579651200,1/22/2020 0:00,XRP/USD,0.23682,0.23942,0.23164,0.23681,58081106.05,13754186.72
1579564800,1/21/2020 0:00,XRP/USD,0.23251,0.24143,0.22858,0.23632,65776124.24,15544213.68
1579478400,1/20/2020 0:00,XRP/USD,0.23579,0.23605,0.22369,0.2324,48745857.14,11328537.2
1579392000,1/19/2020 0:00,XRP/USD,0.24275,0.25138,0.22633,0.2354,42330160.71,9964519.831
